127.0.0.1, 2015-04-30 14:39:59, GET, /, HTTP/1.1, 303, 0.000977
127.0.0.1, 2015-04-30 14:40:01, GET, /welcome/default/index, HTTP/1.1, 200, 2.015176
127.0.0.1, 2015-04-30 14:40:01, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000336
127.0.0.1, 2015-04-30 14:40:01, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001780
127.0.0.1, 2015-04-30 14:40:01, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001778
127.0.0.1, 2015-04-30 14:40:01, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.002557
127.0.0.1, 2015-04-30 14:40:01, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001641
127.0.0.1, 2015-04-30 14:40:01, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000881
127.0.0.1, 2015-04-30 14:40:01, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2015-04-30 14:40:01, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000349
127.0.0.1, 2015-04-30 14:40:01, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000648
127.0.0.1, 2015-04-30 14:40:01, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000469
127.0.0.1, 2015-04-30 14:40:01, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000358
127.0.0.1, 2015-04-30 14:40:02, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000415
127.0.0.1, 2015-04-30 14:40:02, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000406
127.0.0.1, 2015-04-30 14:40:02, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000362
127.0.0.1, 2015-04-30 14:40:02, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000371
127.0.0.1, 2015-04-30 14:40:02, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000736
127.0.0.1, 2015-04-30 14:40:02, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001958
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/default/index, HTTP/1.1, 200, 0.046340
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000426
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000273
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000279
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001221
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000382
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.002272
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000799
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.003480
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000435
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000730
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001012
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.001663
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000483
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.002110
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.003134
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.001204
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000501
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001640
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.002305
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.004767
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000404
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.000305
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.000860
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.001315
127.0.0.1, 2015-04-30 14:40:09, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.000368
127.0.0.1, 2015-04-30 14:41:16, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000375
127.0.0.1, 2015-04-30 14:41:20, GET, /examples/default/what, HTTP/1.1, 200, 0.244739
127.0.0.1, 2015-04-30 14:41:20, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000385
127.0.0.1, 2015-04-30 14:41:24, GET, /examples/default/download, HTTP/1.1, 200, 0.023473
127.0.0.1, 2015-04-30 14:41:24, GET, /examples/static/css/artwork.css, HTTP/1.1, 200, 0.000390
127.0.0.1, 2015-04-30 14:41:24, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000325
127.0.0.1, 2015-04-30 14:41:24, GET, /examples/static/images/Stickers3.png, HTTP/1.1, 200, 0.001116
127.0.0.1, 2015-04-30 14:41:24, GET, /examples/static/images/Stickers1.png, HTTP/1.1, 200, 0.000306
127.0.0.1, 2015-04-30 14:41:24, GET, /examples/static/images/logo_lb.png, HTTP/1.1, 200, 0.002046
127.0.0.1, 2015-04-30 14:41:24, GET, /examples/static/images/Stickers2.png, HTTP/1.1, 200, 0.000274
127.0.0.1, 2015-04-30 14:41:24, GET, /examples/static/images/logo_db.png, HTTP/1.1, 200, 0.001638
127.0.0.1, 2015-04-30 14:41:24, GET, /examples/static/images/logo_bw.png, HTTP/1.1, 200, 0.002158
127.0.0.1, 2015-04-30 14:41:24, GET, /examples/static/images/Stickers4.png, HTTP/1.1, 200, 0.000364
127.0.0.1, 2015-04-30 14:41:24, GET, /examples/static/images/Stickers5.png, HTTP/1.1, 200, 0.000356
127.0.0.1, 2015-04-30 14:41:24, GET, /examples/static/images/Stickers6.png, HTTP/1.1, 200, 0.000366
127.0.0.1, 2015-04-30 14:41:24, GET, /examples/static/images/Stickers7.png, HTTP/1.1, 200, 0.000342
127.0.0.1, 2015-04-30 14:41:24, GET, /examples/static/images/Stickers8.png, HTTP/1.1, 200, 0.000329
127.0.0.1, 2015-04-30 14:54:53, GET, /examples/default/download, HTTP/1.1, 200, 0.015306
127.0.0.1, 2015-04-30 14:54:53, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000369
127.0.0.1, 2015-04-30 14:54:57, GET, /examples/default/documentation, HTTP/1.1, 200, 0.057630
127.0.0.1, 2015-04-30 14:54:57, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000373
127.0.0.1, 2015-04-30 14:55:00, GET, /examples/default/support, HTTP/1.1, 200, 0.036311
127.0.0.1, 2015-04-30 14:55:00, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000384
127.0.0.1, 2015-04-30 14:55:01, GET, /examples/default/who, HTTP/1.1, 200, 0.039367
127.0.0.1, 2015-04-30 14:55:01, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000384
127.0.0.1, 2015-04-30 14:55:03, GET, /examples/default/index, HTTP/1.1, 200, 0.010908
127.0.0.1, 2015-04-30 14:55:03, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000358
127.0.0.1, 2015-04-30 14:55:52, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000376
127.0.0.1, 2015-04-30 14:55:52, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000366
127.0.0.1, 2015-04-30 14:55:54, GET, /examples/default/what, HTTP/1.1, 200, 0.238034
127.0.0.1, 2015-04-30 14:55:54, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000268
127.0.0.1, 2015-04-30 14:55:56, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000352
127.0.0.1, 2015-05-07 09:55:29, GET, /, HTTP/1.1, 303, 0.000902
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.685426
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.028017
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.027978
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.026803
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.027358
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.133848
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.161786
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.134786
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.162451
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000377
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000690
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000333
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 304, 0.000583
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000363
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000480
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000513
127.0.0.1, 2015-05-07 09:55:30, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000348
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/default/index, HTTP/1.1, 200, 0.080274
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.053341
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.053057
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.051053
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.053130
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.016660
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.068294
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.016262
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.069889
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.017869
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.017273
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/images/book-5th.png, HTTP/1.1, 304, 0.001340
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 304, 0.000550
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/images/videos.png, HTTP/1.1, 304, 0.000394
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001189
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.001039
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.001676
127.0.0.1, 2015-05-07 09:56:10, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 304, 0.000348
127.0.0.1, 2015-05-07 09:56:11, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000824
127.0.0.1, 2015-05-07 09:56:11, GET, /examples/static/images/questions.png, HTTP/1.1, 304, 0.000562
127.0.0.1, 2015-05-07 09:56:11, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000386
